department,sample_type,panel,test,code,unit,result_type,normal_range
Biochemistry,Serum,Liver Function Test,S. Albumin,AUTO_128,gm/dl,Numeric,2.4-5
Biochemistry,Serum,Liver Function Test,S. ALT,AUTO_130,mg/dl,Numeric,5-35
Haematology,Body Fluid,Pus,Total Leucocyte Count (Pus),TC,cumm,Numeric,
Haematology,Body Fluid,Pyrotinial Fluid,Total Leucocyte Count (Pyrotinial Fluid),TC,cumm,Numeric,
Biochemistry,Urine,Urine Protein Creatinine Ratio,Urine Protein,AUTO_136,mg/dl,Numeric,20-120
Biochemistry,Urine,Urine Protein Creatinine Ratio,Urine Protein Creatinine Ratio,UPCR,,Numeric,0.2-0.2
Urine,Urine,Urine Microscopy,Vaginal Trichomonas,AUTO_140,/hPF,Remark,
Urine,Urine,Urine Microscopy,Yeast Cell,AUTO_142,/hPF,Remark,
Clinical Pathology,Body Fluid,Asitic Fluid,ZN Stain (Asitic Fluid),AUTO_144,,Drop-down,Positive 1+;Positive 2+;Positive 3+;Positive 4+;Positive 5+;Positive 6+;Negative
Clinical Pathology,Body Fluid,,ZN Stain (Body Fluid),AUTO_146,NA,Drop-down,Positive 1+;Positive 2+;Positive 3+;Positive 4+;Positive 5+;Positive 6+;Negative
